State,Campaign name,Country,Status,Type,Targeting,Retailer,Portfolio name,Campaign bid strategy,Campaign start date,Campaign end date,Avg. time in budget,Campaign budget amount (converted),Campaign budget amount,Cost type,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Detail page views,Brand Store page views,Purchases,Sales (converted),Sales,ACOS,ROAS,Purchases (new to brand),Percent of purchases new to brand,Sales (new to brand) (converted),Sales (new to brand),Percent of sales new to brand,Long-term sales (converted),Long-term sales,Long-term ROAS,User reach,Household reach,Viewable impressions,CPM (converted),CPM,Viewable CPM (vCPM) (converted),Viewable CPM (vCPM),First quartile (video ad),Midpoint (video ad),Third quartile (video ad),Complete views (video ad),Unmutes (video ad),Viewable distribution,Viewable CTR (vCTR)
ENABLED,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,Jars,Fixed bids,03/07/2025,,84.36483739837398,US$70.00,US$70.00,CPC,129538,<5%,0.91,588,0.0045,"US$2,552.58","US$2,552.58",US$4.34,US$4.34,0,0,55,"US$2,249.25","US$2,249.25",1.1349,0.8811672895658509,0,0,US$0.00,US$0.00,0,US$0.00,"US$3,207.18",0,,,0,US$19.71,US$19.71,US$0.00,US$0.00,0,0,0,0,0,0,0.0045
ENABLED,NM - SP - MMT - Branded - MDF - Multi - Jars,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,Multi,Fixed bids,22/08/2024,,100,US$70.00,US$70.00,CPC,17212,54.58%,1.08,476,0.0277,US$969.82,US$969.82,US$2.04,US$2.04,0,0,165,"US$6,864.55","US$6,864.55",0.1413,7.078169144789753,0,0,US$0.00,US$0.00,0,US$0.00,"US$8,463.66",0,,,0,US$56.35,US$56.35,US$0.00,US$0.00,0,0,0,0,0,0,0.0277
ENABLED,NM - SP - Auto - All Products Test w/o Collagen - March 2026,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Fixed bids,02/03/2026,,88.66001157407408,US$70.00,US$70.00,CPC,146430,<5%,0.30,352,0.0024,US$649.57,US$649.57,US$1.85,US$1.85,0,0,41,"US$1,642.50","US$1,642.50",0.3955,2.528595840325138,0,0,US$0.00,US$0.00,0,US$0.00,"US$2,101.01",0,,,0,US$4.44,US$4.44,US$0.00,US$0.00,0,0,0,0,0,0,0.0024
PAUSED,NM - SBV - STR - PT 6 - Jars - Jan 2026,United States,CAMPAIGN_PAUSED,SB2,MANUAL,Amazon,Jars,Fixed bids,13/01/2026,,,US$70.00,US$70.00,CPC,20334,<5%,0,116,0.0057,US$511.83,US$511.83,US$4.41,US$4.41,215,5,20,US$829.00,US$829.00,0.6174,1.6196784088466876,8,0.4000,US$335.60,US$335.60,0.4048,"US$1,306.66","US$1,306.66",2.5529179610417523,20945,,3292,US$25.17,US$25.17,US$155.48,US$155.48,1399,635,421,312,5,0.1619,0.0057
PAUSED,NM - SP - Phrase - All Products Test w/o Collagen - March 2026,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (down only),02/03/2026,,93.27411265432099,US$70.00,US$70.00,CPC,65156,<5%,0.46,142,0.0022,US$465.91,US$465.91,US$3.28,US$3.28,0,0,5,US$144.75,US$144.75,3.2187,0.3106823206198622,0,0,US$0.00,US$0.00,0,US$0.00,US$248.70,0,,,0,US$7.15,US$7.15,US$0.00,US$0.00,0,0,0,0,0,0,0.0022
ENABLED,NM  - SP - 12 Pack - MMT - MDF - Branded - May 2025 - B0DY6K7RQH,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,Sachets,Fixed bids,05/05/2025,,100,US$70.00,US$70.00,CPC,11250,34.21%,0.91,299,0.0266,US$457.55,US$457.55,US$1.53,US$1.53,0,0,112,"US$2,450.10","US$2,450.10",0.1867,5.354824609332315,0,0,US$0.00,US$0.00,0,US$0.00,"US$3,834.99",0,,,0,US$40.67,US$40.67,US$0.00,US$0.00,0,0,0,0,0,0,0.0266
PAUSED,AUTO TEST MARCH 17 26,United States,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,Stick Packs,Dynamic bidding (up and down),16/03/2026,01/09/2026,,US$100.00,US$100.00,CPC,41271,0,0.80,70,0.0017,US$420.10,US$420.10,US$6.00,US$6.00,0,0,4,US$139.80,US$139.80,3.0050,0.3327779100214235,0,0,US$0.00,US$0.00,0,US$0.00,US$221.68,0,,,0,US$10.18,US$10.18,US$0.00,US$0.00,0,0,0,0,0,0,0.0017
PAUSED,NM - SP - Citrus Salt - Exact - MDF - Offense - Harvest - Jars - Oct 2024,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,Jars,Fixed bids,17/10/2024,,100,US$150.00,US$150.00,CPC,2199,<5%,0.91,48,0.0218,US$276.98,US$276.98,US$5.77,US$5.77,0,0,6,US$180.70,US$180.70,1.5328,0.6523936746335475,0,0,US$0.00,US$0.00,0,US$0.00,US$312.19,0,,,0,US$125.96,US$125.96,US$0.00,US$0.00,0,0,0,0,0,0,0.0218
ENABLED,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,Jars,Fixed bids,03/07/2025,,94.9164972899729,US$70.00,US$70.00,CPC,36748,<5%,0.91,82,0.0022,US$246.60,US$246.60,US$3.01,US$3.01,0,0,11,US$378.45,US$378.45,0.6516,1.5346715328467153,0,0,US$0.00,US$0.00,0,US$0.00,US$571.89,0,,,0,US$6.71,US$6.71,US$0.00,US$0.00,0,0,0,0,0,0,0.0022
ENABLED,NM - SP - STR - Phrase - Jars - Jan 2026,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,Jars,Dynamic bidding (down only),12/01/2026,,100,US$70.00,US$70.00,CPC,10905,<5%,0.79,87,0.0080,US$244.49,US$244.49,US$2.81,US$2.81,0,0,14,US$521.95,US$521.95,0.4684,2.134852141191869,0,0,US$0.00,US$0.00,0,US$0.00,US$653.51,0,,,0,US$22.42,US$22.42,US$0.00,US$0.00,0,0,0,0,0,0,0.0080
