Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Page Views - Total,Page Views - Total - B2B,Sessions - Total,Sessions - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Average Offer Count,Average Parent Items
2/1/26,"$1,057.95",$0.00,41,0,35,0,243,2,176,2,99.08%,100.00%,23.30%,0.00%,13,10
2/2/26,"$1,231.00",$42.70,35,1,35,1,251,5,204,4,98.71%,100.00%,17.16%,25.00%,13,10
2/3/26,"$1,183.30",$0.00,34,0,33,0,251,13,197,10,99.57%,100.00%,17.26%,0.00%,13,10
2/4/26,"$1,031.15",$0.00,37,0,32,0,205,3,171,3,98.95%,100.00%,21.64%,0.00%,14,11
2/5/26,$633.75,$9.95,25,1,21,1,231,5,190,5,99.07%,100.00%,13.16%,20.00%,14,9
2/6/26,$870.85,$0.00,43,0,29,0,218,1,173,1,99.49%,0.00%,24.86%,0.00%,14,11
2/7/26,$930.70,$42.70,41,1,32,1,218,1,174,1,100.00%,100.00%,23.56%,100.00%,14,11
2/8/26,$919.60,$0.00,48,0,35,0,270,3,218,3,99.62%,100.00%,22.02%,0.00%,12,6
2/9/26,$937.90,$44.85,42,3,38,1,208,7,181,7,100.00%,100.00%,23.20%,42.86%,12,6
2/10/26,"$1,076.60",$29.90,48,2,42,1,270,3,224,3,100.00%,100.00%,21.43%,66.67%,12,6
2/11/26,$863.20,$0.00,36,0,34,0,204,2,167,2,99.46%,0.00%,21.56%,0.00%,12,6
2/12/26,"$1,071.00",$0.00,40,0,40,0,215,6,175,3,100.00%,100.00%,22.86%,0.00%,12,6
2/13/26,"$1,135.85",$47.90,43,2,42,2,166,8,153,6,98.73%,100.00%,28.10%,33.33%,11,5
2/14/26,"$1,297.75",$0.00,45,0,45,0,209,6,166,4,97.93%,100.00%,27.11%,0.00%,12,6
2/15/26,$665.50,$9.95,30,1,30,1,186,3,147,3,99.43%,0.00%,20.41%,33.33%,12,6
2/16/26,"$1,356.55",$0.00,49,0,46,0,235,1,193,1,100.00%,100.00%,25.39%,0.00%,12,6
2/17/26,"$1,078.00",$0.00,40,0,35,0,218,2,178,2,99.02%,100.00%,22.47%,0.00%,12,6
2/18/26,$903.15,$32.95,37,1,36,1,197,4,164,4,97.27%,100.00%,22.56%,25.00%,12,6
2/19/26,"$1,159.90",$0.00,42,0,40,0,254,2,212,2,100.00%,100.00%,19.81%,0.00%,12,6
2/20/26,$908.70,$14.95,26,1,26,1,172,3,138,1,96.77%,100.00%,18.84%,100.00%,12,6
2/21/26,$978.45,$0.00,31,0,29,0,227,4,163,3,97.49%,100.00%,19.02%,0.00%,12,6
2/22/26,"$1,073.40",$0.00,32,0,31,0,232,7,184,6,99.05%,0.00%,17.39%,0.00%,12,6
2/23/26,"$1,398.10",$0.00,38,0,38,0,218,3,176,3,97.54%,100.00%,21.59%,0.00%,12,6
2/24/26,"$1,023.40",$0.00,32,0,31,0,233,5,193,4,99.07%,100.00%,16.58%,0.00%,12,6
2/25/26,$931.30,$42.70,29,1,27,1,206,1,171,1,99.48%,100.00%,16.96%,100.00%,12,6
2/26/26,$928.55,$0.00,29,0,29,0,188,2,154,2,95.88%,100.00%,18.83%,0.00%,12,6
2/27/26,$958.60,$0.00,28,0,28,0,170,0,122,0,98.05%,0.00%,22.95%,0.00%,12,6
2/28/26,"$1,607.75",$0.00,45,0,42,0,171,2,134,1,98.04%,0.00%,33.58%,0.00%,12,6
3/1/26,$993.60,$0.00,28,0,27,0,200,3,164,3,100.00%,100.00%,17.07%,0.00%,12,6
3/2/26,$984.00,$85.40,30,2,30,2,207,3,173,3,98.91%,100.00%,17.34%,66.67%,12,6
3/3/26,"$1,447.85",$19.95,43,1,43,1,207,8,179,7,100.00%,100.00%,24.02%,14.29%,12,6
3/4/26,"$1,537.55",$0.00,49,0,44,0,339,7,279,5,98.31%,100.00%,17.56%,0.00%,12,6
3/5/26,"$1,118.40",$0.00,32,0,31,0,266,6,217,4,87.14%,100.00%,14.75%,0.00%,10,4
3/6/26,"$3,663.00",$32.95,100,1,67,1,469,7,369,5,94.19%,100.00%,27.10%,20.00%,10,4
3/7/26,"$1,455.95",$42.70,36,1,29,1,231,1,175,1,90.78%,100.00%,20.57%,100.00%,10,4
3/8/26,"$1,762.75",$0.00,45,0,39,0,194,1,161,1,91.16%,0.00%,27.95%,0.00%,10,4
3/9/26,"$1,338.30",$0.00,34,0,29,0,219,10,170,8,89.95%,83.33%,20.00%,0.00%,10,4
3/10/26,"$1,722.95",$0.00,41,0,35,0,226,0,178,0,91.82%,0.00%,23.03%,0.00%,10,4
3/11/26,"$1,967.60",$0.00,48,0,41,0,194,1,153,1,88.95%,0.00%,31.37%,0.00%,10,4
3/12/26,$923.85,$0.00,23,0,17,0,242,4,191,3,91.24%,50.00%,12.04%,0.00%,10,4
3/13/26,"$1,475.45",$341.95,46,16,31,2,206,4,161,4,84.90%,100.00%,28.57%,400.00%,10,4
3/14/26,"$1,118.60",$44.95,28,1,23,1,176,2,152,1,94.05%,50.00%,18.42%,100.00%,10,4
3/15/26,"$1,737.90",$0.00,42,0,39,0,199,5,165,5,96.22%,100.00%,25.45%,0.00%,10,4
3/16/26,"$2,222.25",$0.00,55,0,53,0,239,0,200,0,92.24%,0.00%,27.50%,0.00%,9,3
3/17/26,"$1,488.20",$0.00,36,0,35,0,251,5,216,5,100.00%,100.00%,16.67%,0.00%,9,3
3/18/26,"$1,538.20",$0.00,36,0,34,0,209,6,178,4,96.91%,100.00%,20.22%,0.00%,9,3
