Start Date,End Date,Portfolio name,Campaign Type,Campaign Name,Retailer,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-through rate (CTR),Spend,Last Year Spend,Cost per click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),7 Day Total Sales
"Feb 01, 2026","Mar 19, 2026",Jars,Sponsored Products,NM - Pineapple Salt - Auto - Close - MDF - Jars - Aug 2024,Amazon,United States,ENABLED,USD,$50.0,Automatic targeting,Fixed bids,122,,8,,6.557%,$11.06,,$1.3825,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - Citrus Salt - BMM - Offense - Jars - Aug 2024,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Fixed bids,2553,59565,30,108,1.175%,$160.59,$423.82,$5.353,$3.9242593,3,144.87099999999998%,0.69,$110.85
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - BMM - MDF - Offense - Electrolytes KWs - Jars,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Fixed bids,658,13650,1,34,0.152%,$0.85,$70.19,$0.85,$2.0644118000000002,0,0.0%,0.0,$0.0
"Feb 04, 2026","Mar 11, 2026",Jars,Sponsored Products,NM - SP - Exact - MDF - Offense - Jars - Aug 2024,Amazon,United States,ENABLED,USD,$250.0,Manual targeting,Fixed bids,3,335682,0,93,0.0%,$0.0,$311.93,$0.0,$3.3540859999999997,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 19, 2026",Multi,Sponsored Products,NM - SP - MMT - Branded - MDF - Multi - Jars,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Fixed bids,17211,36479,476,973,2.766%,$969.82,$1590.89,$2.0374369999999997,$1.6350360000000002,165,14.127999999999998%,7.08,$6864.55
"Feb 01, 2026","Mar 14, 2026",Jars,Sponsored Products,NM - SP - Watermelon Salt - BMM - Offense - LMNT - Jars - Aug 2024,Amazon,United States,PAUSED,USD,$100.0,Manual targeting,Fixed bids,81,86136,0,27,0.0%,$0.0,$140.01,$0.0,$5.1855556,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 16, 2026",Jars,Sponsored Products,NM - SP - Citrus Salt - Auto - Close - Offense - Jars - Oct 2024,Amazon,United States,PAUSED,USD,$35.0,Automatic targeting,Fixed bids,4,21610,0,62,0.0%,$0.0,$183.27,$0.0,$2.9559677,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - Citrus Salt - Exact - MDF - Offense - Harvest - Jars - Oct 2024,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Fixed bids,2199,241192,48,88,2.183%,$276.98,$358.83,$5.770416699999999,$4.0776136,6,153.282%,0.65,$180.7
"Feb 01, 2026","Mar 19, 2026",Multi,Sponsored Products,NM - SP - PT - Defence - MDF - Jan 2025 - Multi,Amazon,United States,ENABLED,USD,$250.0,Manual targeting,Fixed bids,292,6454,3,67,1.027%,$9.57,$139.53,$3.19,$2.0825373,1,21.29%,4.7,$44.95
"Feb 01, 2026","Mar 17, 2026",Jars,Sponsored Products,NM  - SP - Exact - MDF - Business - Raspberry Salt - Offense - Jars - Jan 2025,Amazon,United States,ENABLED,USD,$150.0,Manual targeting,Fixed bids,43,6286,5,18,11.628%,$11.82,$40.24,$2.364,$2.2355556,1,26.296000000000003%,3.8,$44.95
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - Pineapple Salt - BMM - MDF - Collagen KWs - Offense - Jars - Mar 2025,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Fixed bids,23,9617,2,38,8.696%,$2.46,$125.27,$1.23,$3.2965789,1,5.473%,18.27,$44.95
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - 12 Pack - MMT - MDF - Branded - May 2025 - B0DY6K7RQH,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Fixed bids,11250,,299,,2.658%,$457.55,,$1.5302676,$0.0,112,18.675%,5.35,$2450.1
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - 12 Pack - BMM - MDF - Offense - May 2025 - B0DY6K7RQH,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Fixed bids,336,,10,,2.976%,$18.71,,$1.871,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - 12 Pack - Auto - PBP  Audience - MDF - Offense - B0DY6K7RQH - July 2025,Amazon,United States,PAUSED,USD,$150.0,Automatic targeting,Fixed bids,6168,,26,,0.422%,$11.35,,$0.4365385,$0.0,3,25.307000000000002%,3.95,$44.85
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,PAUSED,USD,$250.0,Automatic targeting,Fixed bids,15262,,102,,0.668%,$76.4,,$0.7490196,$0.0,6,118.083%,0.85,$64.7
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - 4 Pack - Auto - PBP  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,ENABLED,USD,$15.0,Automatic targeting,Fixed bids,1356,,14,,1.032%,$6.44,,$0.46,$0.0,1,32.281%,3.1,$19.95
"Feb 01, 2026","Mar 19, 2026",Jars,Sponsored Products,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,Amazon,United States,ENABLED,USD,$70.0,Automatic targeting,Fixed bids,129528,,588,,0.45399999999999996%,$2552.58,,$4.3411224,$0.0,55,113.486%,0.88,$2249.25
"Feb 01, 2026","Mar 19, 2026",Jars,Sponsored Products,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,Amazon,United States,ENABLED,USD,$70.0,Automatic targeting,Fixed bids,36746,,82,,0.22300000000000003%,$246.6,,$3.0073171000000003,$0.0,11,65.161%,1.53,$378.45
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - Auto - PBP  Audience - Multi - Offense - Jars - July 2025,Amazon,United States,ENABLED,USD,$150.0,Automatic targeting,Fixed bids,49024,,67,,0.13699999999999998%,$187.1,,$2.7925373000000002,$0.0,6,97.6%,1.02,$191.7
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - 4 Pack - Phrase 2 - MDF - B0DJ3J2CKX - Sep 2025,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Dynamic bids – down only,8866,,61,,0.688%,$80.23,,$1.3152458999999999,$0.0,17,32.908%,3.04,$243.8
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - 4 Pack - Phrase 1 - B0DJ3J2CKX - Sep 2025,Amazon,United States,ENABLED,USD,$150.0,Manual targeting,Dynamic bids – down only,1808,,25,,1.383%,$35.46,,$1.4184,$0.0,4,37.405%,2.67,$94.8
"Feb 01, 2026","Mar 04, 2026",Sachets,Sponsored Products,NM  - SP - 4 Pack - Phrase 3 - MDF - B0DJ3J2CKX - Sep 2025,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,774,,14,,1.809%,$21.23,,$1.5164286000000002,$0.0,3,85.433%,1.17,$24.85
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - Phrase 2 - MDF - Jars - Sep 2025,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,87,,1,,1.149%,$3.77,,$3.77,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 17, 2026",Jars,Sponsored Products,NM - SP - Phrase 4 - Jars - Sep 2025,Amazon,United States,PAUSED,USD,$35.0,Manual targeting,Dynamic bids – down only,157,,1,,0.637%,$2.06,,$2.06,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - Phrase 3 - MDF - Jars - Sep 2025,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,9235,,17,,0.184%,$83.02,,$4.8835294,$0.0,1,184.69400000000002%,0.54,$44.95
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Dynamic bids – down only,5496,,61,,1.11%,$126.73,,$2.077541,$0.0,15,34.984%,2.86,$362.25
"Feb 05, 2026","Mar 17, 2026",Multi,Sponsored Products,NM - SP - Exact - Branded - Multi - Dec2025,Amazon,United States,ENABLED,USD,$35.0,Manual targeting,Dynamic bids – down only,94,,2,,2.128%,$3.7,,$1.85,$0.0,1,8.231%,12.15,$44.95
"Feb 23, 2026","Mar 17, 2026",Multi,Sponsored Products,NM - SP - Phrase - Branded - Multi -  Jars - Dec 2025,Amazon,United States,PAUSED,USD,$35.0,Manual targeting,Dynamic bids – down only,3,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
