Start Date,End Date,Portfolio name,Currency,Campaign Name,Retailer,Country,Bidding strategy,Placement,Impressions,Clicks,Cost per click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#)
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,571,3,1,3,0,,0.00,0,0
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,646,14,1,14,15,92.1070%,1.09,1,1
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,71,8,2,13,0,,0.00,0,0
"Feb 03, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 1 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,115,2,1,2,0,,0.00,0,0
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 1 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,233,1,1,1,0,,0.00,0,0
"Feb 02, 2026","Mar 02, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 1 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,17,2,1,2,0,,0.00,0,0
"Feb 08, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - PT 3 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,5,0,,0,0,,,0,0
"Feb 20, 2026","Mar 02, 2026",Jars,USD,NM - SP - STR - PT 3 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,3,0,,0,0,,,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 4 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,394,4,1,3,0,,0.00,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 4 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,333,2,1,3,10,26.1307%,3.83,1,1
"Feb 01, 2026","Mar 02, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 4 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,45,4,3,14,0,,0.00,0,0
"Feb 01, 2026","Mar 14, 2026",Jars,USD,NM - SP - STR - PT 6 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,18,0,,0,0,,,0,0
"Feb 10, 2026","Mar 06, 2026",Jars,USD,NM - SP - STR - PT 6 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,4,0,,0,0,,,0,0
"Feb 02, 2026","Feb 12, 2026",Jars,USD,NM - SP - STR - PT 6 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,2,0,,0,0,,,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,553,1,1,1,0,,0.00,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,311,11,1,7,15,49.1275%,2.04,2,2
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,50,3,1,3,0,,0.00,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,9192,72,2,124,35,356.0402%,0.28,3,3
"Feb 01, 2026","Feb 21, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,89,1,1,1,0,,0.00,0,0
"Feb 01, 2026","Feb 15, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,14,1,3,3,0,,0.00,0,0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,USD,NM - SP - PT - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Product pages on Amazon,104,0,,0,0,,,0,0
"Feb 01, 2026","Mar 17, 2026",Stick Packs,USD,NM - SP - PT - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Rest of search on Amazon,9,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,USD,NM - SP - PT 3 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Product pages on Amazon,80,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,USD,NM - SP - PT 3 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Rest of search on Amazon,9,0,,0,0,,,0,0
"Feb 17, 2026","Mar 13, 2026",Stick Packs,USD,NM - SP - PT 3 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Top of Search on Amazon,4,0,,0,0,,,0,0
"Feb 02, 2026","Mar 15, 2026",Jars,USD,NM - SP - STR - PT 4 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,16,0,,0,0,,,0,0
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - STR - PT 4 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,9,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - PT 4 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,4,0,,0,0,,,0,0
"Feb 01, 2026","Mar 16, 2026",Sachets,USD,NM - SP - STR - PT - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,30,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Sachets,USD,NM - SP - STR - PT - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,116,0,,0,0,,,0,0
"Feb 02, 2026","Mar 17, 2026",Sachets,USD,NM - SP - STR - PT - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,20,1,2,2,45,4.5161%,22.14,1,1
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 4 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,222,0,,0,0,,,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 4 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,378,2,1,2,0,,0.00,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 4 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,106,6,1,7,20,36.5327%,2.74,2,2
"Feb 12, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 5 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,7,0,,0,0,,,0,0
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 5 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,39,1,1,1,0,,0.00,0,0
"Feb 01, 2026","Mar 02, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 5 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,72,4,3,13,40,32.4812%,3.08,1,2
"Feb 02, 2026","Mar 03, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,33,0,,0,0,,,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,519,10,1,6,5,118.9899%,0.84,1,1
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,75,3,1,4,0,,0.00,0,0
"Feb 05, 2026","Mar 08, 2026",Jars,USD,NM - SP - STR - PT 7 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,3,0,,0,0,,,0,0
"Feb 04, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - PT 7 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,24,0,,0,0,,,0,0
"Feb 01, 2026","Mar 11, 2026",Jars,USD,NM - SP - STR - PT 7 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,17,0,,0,0,,,0,0
"Feb 01, 2026","Mar 03, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 5 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,10,0,,0,0,,,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 5 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,62,1,1,1,0,,0.00,0,0
"Feb 02, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 5 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,55,1,2,2,0,,0.00,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - GPT - 4 Pack - Exact - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,4868,53,1,64,10,643.4343%,0.16,2,2
