Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Retailer,Country,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-through rate (CTR),Cost per click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Mar 01, 2026","Mar 01, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,loose-match,-,#1best best drink with minerals and nutrients￼3 party tested,1,1,100.0000%,4,4,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 03, 2026","Feb 03, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,close-match,-,1000 mg potassium electrolytes fruit punch,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 27, 2026","Feb 27, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,close-match,-,3 in 1 electrolyte,8,1,12.5000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 04, 2026","Feb 04, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,United States,electrolytes creatine collagen,PHRASE,3-in-1 electrolyte creatine collagen sticks,2,1,50.0000%,0,0,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 28, 2026","Feb 28, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,close-match,-,30 servings hydration powder,2,1,50.0000%,6,6,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 15, 2026","Mar 15, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,loose-match,-,3g creatine packets,1,1,100.0000%,1,1,35,3.9771%,25.14,1,1,100.0000%,0,1,0,35
"Feb 26, 2026","Feb 26, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 7 - B0DJ3J2CKX - Jan 2026,NM  - SP - STR - 4 Pack - PT 7 - B0DJ3J2CKX - Jan 2026,Amazon,United States,"asin=""B08JN8TSHH""",-,6am workout sample,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 13, 2026","Mar 15, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,loose-match,-,active,387,2,0.5168%,1,3,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 04, 2026","Mar 04, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,loose-match,-,active creatine packets,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 10, 2026","Mar 10, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,close-match,-,advance hydration formula,5,1,20.0000%,3,3,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 07, 2026","Mar 10, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,loose-match,-,alani energy drink,543,3,0.5525%,2,5,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 14, 2026","Feb 14, 2026",Jars,USD,NM - SP - Auto - PBP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - PBP  Audience - Multi - Offense - July 2025,Amazon,United States,loose-match,-,alpha lion hydration,1,1,100.0000%,3,3,33,10.2883%,9.72,1,1,100.0000%,1,0,33,0
"Mar 01, 2026","Mar 01, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,close-match,-,amino acids and electrolytes,6,1,16.6667%,6,6,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 05, 2026","Mar 05, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,close-match,-,amino acids with electrolytes powder,3,1,33.3333%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 01, 2026","Mar 01, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,United States,creatine and collagen,PHRASE,ancient nutrition creatine collagen electrolytes unflavored 5.8oz,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 13, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 2 - B0DY6K7RQH - Jan 2026,NM  - SP - STR - 12 Pack - PT 2 - B0DY6K7RQH - Jan 2026,Amazon,United States,"asin=""B0DXFVM72V""",-,arrae protein electrolytes collagen,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 19, 2026","Feb 19, 2026",Sachets,USD,NM  - SP - 4 Pack - Phrase 2 - MDF - B0DJ3J2CKX - Sep 2025,NM  - SP - 4 Pack - Phrase 2 - B0DJ3J2CKX - Sep 2025,Amazon,United States,creatine packets to,PHRASE,assorted flavors creatine packets,1,1,100.0000%,2,2,10,17.7889%,5.62,1,1,100.0000%,1,0,10,0
"Feb 24, 2026","Feb 24, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,close-match,-,ath electrolytes,2,1,50.0000%,7,7,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 21, 2026","Feb 21, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,loose-match,-,athena creatine and electrolytes,3,1,33.3333%,4,4,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 02, 2026","Feb 02, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b000m9gkv2,2,1,50.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 28, 2026","Mar 03, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b002dyizee,11,3,27.2727%,3,10,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 03, 2026","Feb 10, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,Amazon,United States,"asin=""B002DYIZEE""",-,b002dyizee,38,4,10.5263%,1,4,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 01, 2026","Mar 01, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b002dyizeo,4,1,25.0000%,5,5,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 03, 2026","Feb 03, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,Amazon,United States,"asin=""B002DYIZEO""",-,b002dyizeo,3,1,33.3333%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 19, 2026","Feb 19, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b00chj3dw4,2,1,50.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 10, 2026","Feb 10, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 1 - B0DY6K7RQH - Jan 2026,NM  - SP - STR - 12 Pack - PT 1 - B0DY6K7RQH - Jan 2026,Amazon,United States,"asin=""B00SCO8AA8""",-,b00sco8aa8,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Feb 26, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,Amazon,United States,"asin=""B00SCO8AA8""",-,b00sco8aa8,55,4,7.2727%,1,2,5,49.8990%,2.00,1,1,25.0000%,1,0,5,0
"Feb 24, 2026","Feb 24, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b00y43u4og,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 12, 2026","Mar 12, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b018itum5c,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 04, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - 12 Pack - Auto - PBP  Audience - MDF - Offense - B0DY6K7RQH - July 2025,NM  - SP - 12 Pack - Auto - PBP  Audience - Offense - B0DY6K7RQH - July 2025,Amazon,United States,substitutes,-,b01iighs0w,1,1,100.0000%,0,0,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 01, 2026","Mar 01, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b01iigor42,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 22, 2026","Feb 22, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b01iigutey,1,1,100.0000%,4,4,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 07, 2026","Feb 07, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - PBP  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - PBP  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,complements,-,b01iyhbnkg,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 19, 2026","Feb 19, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b01jhlbees,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 16, 2026","Feb 16, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b06x1714lr,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 11, 2026","Feb 11, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b06xcvm9ft,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 03, 2026","Mar 03, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b071nn5zt7,4,1,25.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 12, 2026","Feb 12, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,substitutes,-,b073gtpbnx,7,1,14.2857%,0,0,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 23, 2026","Feb 23, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b078nfzfyv,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 18, 2026","Mar 18, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,STICK PACKS,Amazon,United States,substitutes,-,b07d22v6n8,2,1,50.0000%,14,14,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 11, 2026","Feb 11, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b07f43rm55,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 14, 2026","Feb 14, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b07g3vwdwl,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 05, 2026","Feb 05, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,complements,-,b07j1yd6my,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 03, 2026","Feb 03, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,complements,-,b07qdbkjhs,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 03, 2026","Feb 03, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,complements,-,b07qgkq4fv,2,1,50.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 15, 2026","Feb 15, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,substitutes,-,b07rld4n3k,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 14, 2026","Mar 14, 2026",Jars,USD,NM - SP - Auto - PBP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - PBP  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b07rx4p4rl,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 17, 2026","Mar 17, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,STICK PACKS,Amazon,United States,substitutes,-,b07sh31t9v,315,1,0.3175%,4,4,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 12, 2026","Feb 12, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,substitutes,-,b07stlsyxl,16,1,6.2500%,0,0,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 19, 2026","Feb 19, 2026",Jars,USD,NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025,Amazon,United States,substitutes,-,b07xgct1ts,1,1,100.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 16, 2026","Mar 16, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,STICK PACKS,Amazon,United States,substitutes,-,b07xgct1ts,1,1,100.0000%,7,7,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 11, 2026","Mar 11, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,loose-match,-,b07xq325y3,11,1,9.0909%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 18, 2026","Feb 18, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b07yyvr2f3,3,1,33.3333%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 03, 2026","Feb 03, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,complements,-,b07zpcdbbs,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Feb 01, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,complements,-,b084hq4dyq,2,1,50.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 26, 2026","Feb 26, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 7 - B0DY6K7RQH - Jan 2026,NM  - SP - STR - 12 Pack - PT 7 - B0DY6K7RQH - Jan 2026,Amazon,United States,"asin=""B08BYYSVH7""",-,b08byysvh7,1,1,100.0000%,1,1,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 02, 2026","Mar 02, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - PBP  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - PBP  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,complements,-,b08d4ysf4b,1,1,100.0000%,0,0,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 18, 2026","Mar 18, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,STICK PACKS,Amazon,United States,substitutes,-,b08fh23zmb,1,1,100.0000%,7,7,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 17, 2026","Mar 17, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,STICK PACKS,Amazon,United States,substitutes,-,b08gkxnhj2,20,1,5.0000%,7,7,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 25, 2026","Feb 25, 2026",Sachets,USD,NM  - SP - 12 Pack - Auto - PBP  Audience - MDF - Offense - B0DY6K7RQH - July 2025,NM  - SP - 12 Pack - Auto - PBP  Audience - Offense - B0DY6K7RQH - July 2025,Amazon,United States,substitutes,-,b08kbwhzpm,2,1,50.0000%,0,0,0,,0.00,0,0,0.0000%,0,0,0,0
"Mar 17, 2026","Mar 17, 2026",Stick Packs,USD,AUTO TEST MARCH 17 26,STICK PACKS,Amazon,United States,substitutes,-,b08psh2zp4,3,1,33.3333%,3,3,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 17, 2026","Feb 17, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b08qtxzy4d,2,1,50.0000%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 11, 2026","Feb 11, 2026",Jars,USD,NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025,NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025,Amazon,United States,complements,-,b093xsb9fb,7,1,14.2857%,2,2,0,,0.00,0,0,0.0000%,0,0,0,0
"Feb 04, 2026","Feb 04, 2026",Sachets,USD,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,NM  - SP - 4 Pack - Auto - CAC  Audience - Offense - B0DJ3J2CKX - July 2025,Amazon,United States,substitutes,-,b0959ktdpb,6,1,16.6667%,0,0,5,4.8485%,20.63,1,1,100.0000%,1,0,5,0
