Start Date,End Date,Portfolio name,Currency,Campaign Name,Country,Ad Group Name,Retailer,Targeting,Match Type,Impressions,Top-of-search impression share,Clicks,Click-through rate (CTR),Cost per click (CPC),Spend,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Feb 01, 2026","Mar 19, 2026",Jars,USD,NM - Pineapple Salt - Auto - Close - MDF - Jars - Aug 2024,United States,NM - Jars - Auto - Close,Amazon,close-match,-,122,0.9200%,8,6.5574%,1,11,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - BMM - MDF - Offense - Electrolytes KWs - Jars,United States,NM - SP - Jars - BMM - Electrolytes KWs,Amazon,+electrolytes,BROAD,648,0.0100%,1,0.1543%,1,1,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 05, 2026","Feb 24, 2026",Jars,USD,NM - SP - BMM - MDF - Offense - Electrolytes KWs - Jars,United States,NM - SP - Jars - BMM - Electrolytes KWs,Amazon,+electrolyte +drink,BROAD,2,3.8500%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 25, 2026","Mar 17, 2026",Jars,USD,NM - SP - BMM - MDF - Offense - Electrolytes KWs - Jars,United States,NM - SP - Jars - BMM - Electrolytes KWs,Amazon,+hydrate +electrolyte +powder,BROAD,4,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 10, 2026","Mar 15, 2026",Jars,USD,NM - SP - BMM - MDF - Offense - Electrolytes KWs - Jars,United States,NM - SP - Jars - BMM - Electrolytes KWs,Amazon,+electrolytes +drinks,BROAD,4,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Mar 02, 2026","Mar 18, 2026",Multi,USD,NM - SP - MMT - Branded - MDF - Multi - Jars,United States,NM - SP - Jars - MMT - Branded - Up Down,Amazon,harlo,PHRASE,6,10.6400%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 02, 2026","Feb 10, 2026",Multi,USD,NM - SP - MMT - Branded - MDF - Multi - Jars,United States,NM - SP - Jars - MMT - Branded - Up Down,Amazon,harlo,EXACT,0,,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 08, 2026","Mar 19, 2026",Multi,USD,NM - SP - MMT - Branded - MDF - Multi - Jars,United States,NM - SP - Jars - MMT - Branded - Up Down,Amazon,harlo electrolytes,EXACT,9690,54.7000%,265,2.7348%,2,617,16.1203%,6.20,3829,92,96,34.7170%,56,40,2353,1476
"Feb 14, 2026","Feb 23, 2026",Multi,USD,NM - SP - MMT - Branded - MDF - Multi - Jars,United States,NM - SP - Jars - MMT - Branded - Up Down,Amazon,harlo electrolytes creatine,PHRASE,75,40.0000%,4,5.3333%,4,16,,0.00,0,0,0,0.0000%,0,0,0,0
"Mar 07, 2026","Mar 10, 2026",Multi,USD,NM - SP - MMT - Branded - MDF - Multi - Jars,United States,NM - SP - Jars - MMT - Branded - Up Down,Amazon,harlo electrolytes creatine,EXACT,5,100.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
