"Active","Target","Target active status","Targeting type","Campaign","Type","Campaign active status","Ad group","Products","ROAS","Conversion rate","CPC","Bid","Suggested bid","Impressions","Top-of-search IS","Clicks","Spend","CTR","Orders","Sales","ACOS"
"ENABLED","close-match","ENABLED","Automatic - Close match","NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025","SP","enabled","NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025","3","0.8727871680752115","10.736196319018406","4.90723","1.36","3.47","42808","0.20379495492519098","326","1599.76","0.7615398990842833","35","1396.25","114.57547000895252"
"ENABLED","loose-match","ENABLED","Automatic - Loose match","NM - SP - Auto - HLP  Audience - Multi - Offense - Jars - July 2025","SP","enabled","NM - SP - Jars - Auto - HLP  Audience - Multi - Offense - July 2025","3","0.9691529852865993","8.695652173913043","3.82673","1.26","3.8","12613","0.6171739554267913","230","880.14999","1.8235154205977961","20","853","103.18288393903865"
"ENABLED","harlo electrolytes","ENABLED","Keyword - exact","NM - SP - MMT - Branded - MDF - Multi - Jars","SP","enabled","NM - SP - Jars - MMT - Branded - Up Down","6","6.203343701399683","34.71698113207547","2.32935","3.2","2.91","9690","54.625","265","617.28","2.7347781217750256","92","3829.19999","16.120338451895975"
"ENABLED","+harlo","ENABLED","Keyword - broad","NM  - SP - 12 Pack - MMT - MDF - Branded - May 2025 - B0DY6K7RQH","SP","enabled","NM  - SP - 12 Pack - MMT - Branded - Apr 2025 - B0DY6K7RQH","1","5.354824609332315","37.45819397993311","1.53026","2.26","4.22","11247","34.23130515559684","299","457.55","2.658486707566462","112","2450.1","18.67474796947063"
"ENABLED","close-match","ENABLED","Automatic - Close match","NM - SP - Auto - All Products Test w/o Collagen - March 2026","SP","enabled","NM - SP - Auto - All Products Test w/o Collagen - March 2026","11","3.7800246485072577","16.176470588235293","1.94897","2.41","2.82","64039","0.006772837755722099","204","397.59","0.3185558800106185","33","1502.9","26.454853949031857"
"ENABLED","substitutes","ENABLED","Automatic - Substitutes","AUTO TEST MARCH 17 26","SP","paused","STICK PACKS","3","0.2940681531342028","5.454545454545454","6.48272","1.83","1.32","40023","0.011019022459278435","55","356.55","0.13742098293481247","3","104.85","340.0572246065808"
"ENABLED","+harlo","ENABLED","Keyword - broad","NM - SP - MMT - Branded - MDF - Multi - Jars","SP","enabled","NM - SP - Jars - MMT - Branded - Up Down","6","9.596124055515162","36.5","1.58154","3.25","4.22","6972","41.87116564417178","200","316.30999","2.8686173264486516","73","3035.35","10.420874034295876"
"ENABLED","loose-match","ENABLED","Automatic - Loose match","NM - SP - Auto - All Products Test w/o Collagen - March 2026","SP","enabled","NM - SP - Auto - All Products Test w/o Collagen - March 2026","11","0.554012223192317","5.405405405405405","1.70256","0.87","3.37","82477","0.010057324148856715","148","251.97999","0.17944396619663663","8","139.6","180.5014326647564"
"ENABLED","substitutes","ENABLED","Automatic - Substitutes","NM - SP - Auto - CAC  Audience - Multi - Offense - Jars - July 2025","SP","enabled","NM - SP - Jars - Auto - CAC  Audience - Multi - Offense - July 2025","3","1.4592394052796605","13.846153846153847","3.04215","1.14","3.42","33644","0.04996186992056355","65","197.73999","0.19319938176197837","9","288.55","68.52885115231328"
"ENABLED","electrolyte creatine","ENABLED","Keyword - exact","NM - SP - Citrus Salt - Exact - MDF - Offense - Harvest - Jars - Oct 2024","SP","paused","NM - Jars - Citrus Salt - Exact - Harvest - Oct 2024","1","0.9242219215155613","16.666666666666664","6.15833","2.51","2.44","1105","19.00739176346357","30","184.75","2.7149321266968327","5","170.75","108.19912152269401"
