Day,"Ad name","Amount spent (USD)",Impressions,"Link clicks",Purchases,"Purchases conversion value","Purchase ROAS (return on ad spend)","CPC (cost per link click)","CTR (link click-through rate)","CPM (cost per 1,000 impressions)","Link (ad settings)","Reporting starts","Reporting ends"
2026-03-29,"27.03.26 | Video - 2 | LogOX_3in1tool_batch2_V2 |  Text Variation - 1 | LP : PDP",5.9,1168,3,,,,1.96666667,0.25684932,5.05136986,https://www.thelogox.com/products/logox-3-in-1,2026-03-29,2026-03-29
2026-03-29,"25.02.26 |  Static - 5 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",1.8,159,1,,,,1.8,0.62893082,11.32075472,https://www.thelogox.com/products/logox-3-in-1,2026-03-29,2026-03-29
2026-03-29,"3-in-1 Forestry MultiTool Static",18.19,1644,11,2,370,20.34084662,1.65363636,0.66909976,11.06447689,https://www.thelogox.com/pages/multitool,2026-03-29,2026-03-29
2026-03-29,"Vid YT4 937590921720937",47.95,4447,49,4,659.1,13.7455683,0.97857143,1.10186643,10.78255003,https://www.thelogox.com/pages/multitool,2026-03-29,2026-03-29
2026-03-29,"Vid FB1 937590858387610",146.28,13867,157,5,1085.8,7.42275089,0.93171975,1.13218432,10.54878488,https://www.thelogox.com/pages/multitool,2026-03-29,2026-03-29
2026-03-29,"Video | Site B | Austin  - 816341450512552",114.16,8701,131,5,1191,10.432726,0.87145038,1.50557407,13.120331,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-29,2026-03-29
2026-03-29,"19.01.26 | LOGOX V1 | Hearth Bin Adjustable Firewood Rack | Text Variation - 1 | LP : PDP",0.82,56,2,,,,0.41,3.57142857,14.64285714,https://www.thelogox.com/products/logox-firewood-hearth-bin,2026-03-29,2026-03-29
2026-03-29,"3-in-1 Forestry MultiTool Static",2.89,153,2,,,,1.445,1.30718954,18.88888889,https://www.thelogox.com/pages/multitool,2026-03-29,2026-03-29
2026-03-29,"Video | Site B | Austin  - 711679707645394",98.56,6720,106,1,260.1,2.63900162,0.92981132,1.57738095,14.66666667,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-29,2026-03-29
2026-03-29,"17.11.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP - PDP",1.53,89,1,,,,1.53,1.12359551,17.19101124,https://www.thelogox.com/products/logox-3-in-1,2026-03-29,2026-03-29
2026-03-29,"17.11.25 | Video - 6 | TimberOX Summit 30-Ton | Text Variation - 3 | LP - PDP",8.34,518,41,,,,0.20341463,7.91505792,16.1003861,https://www.thelogox.com/products/timberox,2026-03-29,2026-03-29
2026-03-29,"06.01.26 | B6.V2 | Forester Package | Text Variation - 1 | LP : Forester Package",14.08,836,22,,,,0.64,2.63157895,16.84210526,https://www.thelogox.com/products/forester-package,2026-03-29,2026-03-29
2026-03-29,"25.02.26 |  Static - 8 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.13,15,1,,,,0.13,6.66666667,8.66666667,https://www.thelogox.com/products/logox-3-in-1,2026-03-29,2026-03-29
