"Day","Product title","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"2026-03-02","PickOX Pickaroon Attachment",1,49.95,-4.82,0,45.13,0,0,0,0,45.13
"2026-03-02","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-02","LogOX Can Cooler",6,0,0,0,0,0,0,0,0,0
"2026-03-02",,0,0,0,0,0,20,0,0,0,20
"2026-03-02","LogOX Hauler",2,975,-136.5,0,838.5,0,0,0,0,838.5
"2026-03-02","LogOX Cant Handle Extension",1,39.95,-3.85,0,36.1,0,0,0,0,36.1
"2026-03-02","LogOX 3-in-1 Forestry MultiTool",11,3179,-75.35,0,3103.65,0,0,0,0,3103.65
"2026-03-02","PICKOX TIP REPLACEMENT",2,27.8,-1.33,0,26.47,0,0,0,0,26.47
"2026-03-02","Team LogOX Sticker",7,0,0,0,0,0,0,0,0,0
"2026-03-03","LogOX 3-in-1 Forestry MultiTool",14,3988.2,-346.42,0,3641.78,0,0,0,0,3641.78
"2026-03-03","LogOX Forester Package",4,1580,-405,0,1175,0,0,0,51.35,1226.35
"2026-03-03","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-03","LogOX Hauler Upgrade Package*",1,94.95,0,-94.95,0,0,0,0,0,0
"2026-03-03","LogOX Can Cooler",13,0,0,0,0,0,0,0,0,0
"2026-03-03","PickOX Pickaroon Attachment",3,199.8,-1.48,0,198.32,0,0,0,5.99,204.31
"2026-03-03","TW Series 4-Way Wedge",1,295,0,0,295,0,0,0,0,295
"2026-03-03","LogOX Made in USA Sticker",1,12,-12,0,0,0,0,0,0,0
"2026-03-03","LogOX Cant Handle Extension",1,39.95,0,0,39.95,0,0,0,0,39.95
"2026-03-03","Set of (3) LogOX Swing-Lock Connection Pins",1,9.5,0,0,9.5,0,0,0,0,9.5
"2026-03-03",,1,0,0,0,0,635.36,0,0,9.99,645.35
"2026-03-03","The Woodhaven 2ft Firewood Rack",1,94,0,0,94,0,0,0,0,94
"2026-03-03","Team LogOX Sticker",13,0,0,0,0,0,0,0,0,0
"2026-03-03","TimberOX Summit 30-Ton Log Splitter",1,5995,0,0,5995,0,0,0,0,5995
"2026-03-03","LogOX Hauler",4,780,-205,0,575,0,0,0,0,575
"2026-03-03","The Woodsman Bundle",2,657.9,-10,0,647.9,0,0,0,0,647.9
"2026-03-04","LogOX Can Cooler",4,0,0,0,0,0,0,0,0,0
"2026-03-04","TimberOX Summit 30-Ton Log Splitter",1,5995,0,0,5995,0,0,0,0,5995
"2026-03-04",,0,0,0,0,0,440,0,0,0,440
"2026-03-04","LogOX Forester Package",2,790,-8.14,0,781.86,0,0,0,0,781.86
"2026-03-04","Team LogOX Sticker",5,0,0,0,0,0,0,0,0,0
"2026-03-04","LogOX 3-in-1 Forestry MultiTool",8,2312,-299,0,2013,0,0,0,0,2013
"2026-03-04","The Mingo Bundle Includes 14in 16in 18in and extra Trigger",1,59.99,0,0,59.99,0,0,0,0,59.99
"2026-03-04","LogOX Hauler",5,975,-225,0,750,0,0,0,0,750
"2026-03-04","WoodOX Sling*",1,89.95,-1.86,0,88.09,0,0,0,0,88.09
"2026-03-05","LogOX Can Cooler",4,0,0,0,0,0,0,0,0,0
"2026-03-05","LogOX 3-in-1 Forestry MultiTool",10,2890,-30,0,2860,0,0,0,0,2860
"2026-03-05",,0,0,0,-31.09,-31.09,10,0,0,0,-21.09
"2026-03-05","LogOX Hauler",4,780,-10,0,770,0,0,0,26.09,796.09
"2026-03-05","Team LogOX Sticker",5,0,0,0,0,0,0,0,0,0
"2026-03-05","LogOX Hauler Holster",1,39.95,-7.99,0,31.96,0,0,0,0,31.96
"2026-03-05","Bigfoot Timberjack Attachment and Swing-Lock Pins",1,55,0,0,55,0,0,0,0,55
"2026-03-06","LogOX Hauler Upgrade Package",1,94.95,-9.49,0,85.46,0,0,0,0,85.46
"2026-03-06","LogOX 3-in-1 Forestry MultiTool",15,4335,-67.42,0,4267.58,0,0,0,0,4267.58
"2026-03-06","LogOX Forester Package",6,2370,-119,0,2251,0,0,0,0,2251
"2026-03-06","LogOX Can Cooler",18,0,0,0,0,0,0,0,0,0
"2026-03-06","PickOX Pickaroon Attachment",3,149.85,-6.47,0,143.38,0,0,0,0,143.38
"2026-03-06","TimberOX Summit Dan-D-Lift Manual Log Lift",1,850,-85.01,0,764.99,0,0,0,0,764.99
"2026-03-06","LogOX Cant Handle Extension",2,79.9,-43.94,0,35.96,0,0,0,0,35.96
