Month,UTM campaign source,UTM campaign medium,Orders (last click),Gross sales (last click),Discounts (last click),Returns (last click),Net sales (last click),Shipping charges (last click),Duties (last click),Additional fees (last click),Taxes (last click),Total sales (last click)
2025-01-01,Klaviyo,flow,3,2483.63,-227.57,0,2256.06,23.96,0,0,7.3,2287.32
2025-01-01,abandoned_cart,email,3,358.17,-19.81,0,338.36,41.66,0,0,3.97,383.99
2025-01-01,adroll,adroll,2,290.62,-11.66,0,278.96,24.99,7.34,0,16.83,328.12
2025-01-01,google,organic,11,1436.33,-9.5,0,1426.83,105.68,0,0,45.53,1578.04
2025-01-01,google,cpc,38,4252.65,-40.53,-586.75,3625.37,233.85,0,0,164.92,4024.14
2025-01-01,Rikumo Newsletter,email,1,658.5,0,-90,568.5,0,0,0,50.48,618.98
2025-01-01,substack,email,1,53.5,0,0,53.5,7.26,0,0,0,60.76
2025-01-01,later-linkinbio,referral,3,241.95,0,0,241.95,0,0,0,0,241.95
2025-01-01,google,product_sync,29,2287.35,-45.48,-221.4,2020.47,322.6,0,0,73.05,2416.12
2025-01-01,chatgpt.com,,1,17,0,0,17,7.73,0,0,0,24.73
2025-01-01,back-in-stock,email,45,5163.35,-93.05,-181.5,4888.8,324.11,0,0,115.31,5328.22
2025-01-01,Klaviyo,Newsletter,127,18041.86,-69.3,-429.39,17543.17,425.36,0,0,582.47,18551
2025-01-01,,,545,77892.23,-1600.3,-4088.43,72203.5,4582.66,262.24,0,2247.38,79295.78
2025-01-01,pinterest,social,9,962.84,0,-85,877.84,107.3,13,0,30.59,1028.73
2025-02-01,chatgpt.com,,1,21,0,0,21,7.84,0,0,0,28.84
2025-02-01,google,cpc,27,4688.85,-54.95,-78.2,4555.7,135.19,0,0,206.08,4896.97
2025-02-01,back-in-stock,email,43,4985.85,-37.1,-202,4746.75,322.55,0,0,77.59,5146.89
2025-02-01,abandoned_cart,email,0,0,0,-19.37,-19.37,0,0,0,-0.97,-20.34
2025-02-01,google,organic,3,235.5,-8.6,-77.4,149.5,35.26,0,0,6.51,191.27
2025-02-01,,,414,55835.44,-992.78,-3826.58,51016.08,3914.14,96.65,0,1469.68,56496.55
2025-02-01,google,product_sync,19,1546.05,-60.15,-231.15,1254.75,183.75,0,0,24.63,1463.13
2025-02-01,checkmate,,1,63,0,0,63,9.37,0,0,0,72.37
2025-02-01,pinterest,social,6,942,0,0,942,80.68,0,0,2.01,1024.69
2025-02-01,klarna,referral,2,262,0,0,262,23.52,0,0,25.34,310.86
2025-02-01,Klaviyo,flow,0,0,0,0,0,0,0,0,0,0
2025-02-01,adroll,adroll,0,0,0,0,0,0,0,0,0,0
2025-02-01,Klaviyo,Newsletter,42,5509.9,-38.98,-108.95,5361.97,412.28,28.81,0,214.33,6017.39
2025-02-01,later-linkinbio,referral,0,0,0,0,0,0,0,0,0,0
2025-03-01,pinterest,social,3,103.55,-2.6,0,100.95,26.89,0,0,5.29,133.13
2025-03-01,substack,email,1,51,0,0,51,17.83,0,0,0,68.83
2025-03-01,back-in-stock,email,12,1301,0,0,1301,226.41,9.87,0,59.88,1597.16
2025-03-01,Klaviyo,flow,5,773.49,-29.56,0,743.93,97.56,49.12,0,117.03,1007.64
2025-03-01,,,394,66900.47,-1525.4,-2301.98,63073.09,4052.02,151.97,0,1973.03,69250.11
2025-03-01,abandoned_cart,email,2,319.71,-5,0,314.71,71.94,98.23,0,37,521.88
2025-03-01,google,product_sync,21,2431.5,-25.6,0,2405.9,266.38,0,0,124.2,2796.48
2025-03-01,adroll,adroll,1,58,0,0,58,8.39,0,0,3.48,69.87
2025-03-01,Klaviyo,Newsletter,51,7425.78,-24.6,-903.5,6497.68,377.97,0,0,163.8,7039.45
2025-03-01,google,organic,5,820.92,-6,0,814.92,56.1,7.26,0,18.66,896.94
2025-03-01,google,cpc,22,2161.75,-13.9,-225,1922.85,168.13,0,0,61.68,2152.66
2025-04-01,google,cpc,31,5354.9,-28.84,-169,5157.06,269.37,0,0,126.76,5553.19
2025-04-01,chatgpt.com,,1,333,0,0,333,0,0,0,0,333
2025-04-01,,,410,60036.87,-378.36,-1901.3,57757.21,3767.45,223.64,0,2066.13,63814.43
2025-04-01,google,organic,2,351.75,0,-30,321.75,0,0,0,28.8,350.55
2025-04-01,google,product_sync,9,720.55,0,-52.5,668.05,96.06,0,0,30.28,794.39
2025-04-01,pinterest,social,6,627,-5,0,622,39.78,0,0,0,661.78
2025-04-01,Klaviyo,Newsletter,47,8476.24,0,-243,8233.24,348.21,0,0,165.22,8746.67
2025-04-01,back-in-stock,email,25,2454.73,-1.8,-22,2430.93,246.6,0,0,113.16,2790.69
2025-04-01,Klaviyo,flow,5,474.55,-42.7,0,431.85,41.15,0,0,17.51,490.51
2025-04-01,abandoned_cart,email,0,0,0,0,0,0,0,0,0,0
2025-04-01,adroll,adroll,1,105.75,0,0,105.75,9.63,0,0,0,115.38
2025-05-01,google,product_sync,21,2217.7,-268.2,-23.25,1926.25,178.73,0,0,51.77,2156.75
2025-05-01,google,organic,1,88,0,0,88,7.66,0,0,8.49,104.15
2025-05-01,Klaviyo,campaign,1,82.25,0,0,82.25,12.87,0,0,0,95.12
2025-05-01,Klaviyo,flow,8,1485,-186.08,-140.4,1158.52,34.95,0,0,22.25,1215.72
2025-05-01,shop_app,,0,0,0,0,0,0,0,0,0,0
2025-05-01,,,409,68254.04,-3321.47,-3150.39,61782.18,4132.35,364.54,0,2193.83,68472.9
2025-05-01,google,cpc,37,5741.75,-257.5,-835.5,4648.75,289.16,0,0,130.44,5068.35
2025-05-01,adroll,adroll,0,0,0,0,0,0,0,0,0,0
2025-05-01,pinterest,social,4,157,0,0,157,34.2,0,0,2.57,193.77
2025-05-01,back-in-stock,email,11,1439.35,0,0,1439.35,77.57,0,0,15.59,1532.51
2025-05-01,chatgpt.com,,1,38,0,0,38,9.09,0,0,0,47.09
2025-05-01,Klaviyo,Newsletter,61,10971.56,-969.1,-110,9892.46,513.33,58.07,0,287.91,10751.77
2025-05-01,abandoned_cart,email,3,346,0,-68,278,16.85,0,0,4.93,299.78
2025-06-01,pinterest,social,5,363.25,0,0,363.25,58.02,0,0,0,421.27
2025-06-01,chatgpt.com,,1,15,0,0,15,8.37,0,0,0,23.37
2025-06-01,google,cpc,41,5503.51,-142.19,0,5361.32,387.2,0,0,146.57,5895.09
2025-06-01,Klaviyo,Newsletter,63,9889.49,-652.03,-186.53,9050.93,558.06,25.96,0,177.05,9812
2025-06-01,,,352,55608.46,-1484.41,-3684.05,50440,3618.4,334.64,0,1603.84,55996.88
2025-06-01,later-linkinbio,referral,2,658.88,-96.26,0,562.62,0,0,0,0,562.62
2025-06-01,Klaviyo,flow,2,639,-63.9,0,575.1,0,0,0,0,575.1
2025-06-01,google,organic,4,436.75,-1.65,0,435.1,42.26,0,0,29.14,506.5
2025-06-01,adroll,adroll,0,0,0,0,0,0,0,0,0,0
2025-06-01,back-in-stock,email,26,3578.98,-35.4,-175,3368.58,261.47,0,0,56.11,3686.16
2025-06-01,facebook,paid,0,0,0,0,0,0,0,0,0,0
2025-06-01,google,product_sync,18,1330.35,-43.55,-87.5,1199.3,144.85,0,0,20.16,1364.31
2025-06-01,abandoned_cart,email,2,1325.72,-148.57,0,1177.15,84.21,0,0,98.22,1359.58
2025-07-01,back-in-stock,email,7,637.55,-11.1,0,626.45,92.42,0,0,7.3,726.17
2025-07-01,Klaviyo,Newsletter,41,5068.42,-103.56,-354.68,4610.18,431.35,4.19,0,141.11,5186.83
2025-07-01,google,product_sync,25,2703.55,0,0,2703.55,239.94,0,0,114.19,3057.68
2025-07-01,later-linkinbio,referral,1,168.35,-10.35,0,158,0,0,0,0,158
2025-07-01,google,cpc,24,2703.5,-102.5,0,2601,268.37,27.73,0,101.59,2998.69
2025-07-01,google,organic,2,206,0,0,206,11.49,0,0,0,217.49
2025-07-01,,,353,55691.19,-1040.43,-4190.9,50459.86,3640.13,129.11,0,1816.01,56045.11
2025-07-01,adroll,adroll,0,0,0,0,0,0,0,0,0,0
2025-07-01,Klaviyo,flow,2,277,-27.7,0,249.3,16.68,0,0,0,265.98
2025-07-01,shopmy,social,0,0,0,0,0,0,0,0,0,0
2025-07-01,shop_app,,2,200,0,-100,100,0,0,0,0,100
2025-07-01,abandoned_cart,email,3,263,0,-266.45,-3.45,26.71,0,0,-23.54,-0.28
2025-07-01,pinterest,social,6,426,0,0,426,62.05,0,0,9.84,497.89
2025-07-01,chatgpt.com,,1,34,0,0,34,10.39,0,0,3.22,47.61
2025-07-01,Springbot,Email,0,0,0,0,0,0,0,0,0,0
2025-08-01,google,organic,7,907.6,-69.47,0,838.13,49.18,0,0,42.25,929.56
2025-08-01,Klaviyo,Newsletter,27,4209.45,-14.1,-93,4102.35,175.24,0,0,80.07,4357.66
2025-08-01,google,cpc,30,4757.5,-56.6,-225,4475.9,405.36,0,0,63.61,4944.87
2025-08-01,adroll,adroll,1,261,0,0,261,0,0,0,0,261
2025-08-01,later-linkinbio,referral,1,18,0,0,18,10.68,0,0,0,28.68
2025-08-01,,,381,65855.41,-2267.41,-1422.9,62165.1,3937.86,141.46,0,1885.61,68130.03
2025-08-01,Klaviyo,flow,9,1384.75,-119.67,0,1265.08,99.24,0,0,42.12,1406.44
2025-08-01,chatgpt.com,,1,32.75,0,0,32.75,10.83,0,0,0,43.58
2025-08-01,google,product_sync,14,1206.95,0,0,1206.95,217.33,0,0,46.01,1470.29
2025-08-01,back-in-stock,email,15,2000.5,-8.55,-263,1728.95,138.91,0,0,25.55,1893.41
2025-08-01,abandoned_cart,email,1,146,0,-73,73,3.98,0,0,0,76.98
2025-08-01,pinterest,social,10,1384.65,0,-30.28,1354.37,127.46,0,0,14.52,1496.35
2025-09-01,later-linkinbio,referral,2,179.15,0,0,179.15,10.68,0,0,0,189.83
2025-09-01,Klaviyo,Newsletter,34,5459.91,-208.62,-99,5152.29,342.57,10.94,0,133.16,5638.96
2025-09-01,,,329,51560.89,-876.12,-1739.79,48944.98,3285.82,46.88,0,1750.47,54028.15
2025-09-01,chatgpt.com,,1,62,0,0,62,12.14,0,0,0,74.14
2025-09-01,back-in-stock,email,12,1203.25,-25.4,0,1177.85,147.73,0,0,10.45,1336.03
2025-09-01,pinterest,social,3,792.75,0,-32,760.75,160.43,0,0,37.62,958.8
2025-09-01,google,cpc,26,3375.45,-44.02,-70,3261.43,223.41,0,0,151.49,3636.33
2025-09-01,google,product_sync,11,2058.25,0,-16.5,2041.75,87.81,0,0,8.77,2138.33
2025-09-01,Klaviyo,flow,7,1010.75,-46.92,0,963.83,37.24,0,0,23.01,1024.08
2025-09-01,google,organic,2,1085.75,-31.98,-134.05,919.72,33.96,0,0,5.14,958.82
2025-09-01,shopmy,,1,707.6,-70.76,0,636.84,0,0,0,51.89,688.73
2025-10-01,Klaviyo,flow,4,1216.8,-68.23,0,1148.57,60.51,36.9,0,167.19,1413.17
2025-10-01,abandoned_cart,email,2,71.19,0,0,71.19,46.46,0,0,17.86,135.51
2025-10-01,google,cpc,43,7374,-31.05,-566,6776.95,378.54,0,0,272.68,7428.17
2025-10-01,google,product_sync,23,2095.75,-17.75,-195.2,1882.8,243.45,0,0,49.41,2175.66
2025-10-01,,,352,61624.16,-768.2,-1182.92,59673.04,4094.37,379.25,0,2803.75,66950.41
2025-10-01,back-in-stock,email,5,999.59,0,-17.8,981.79,70.57,77.88,0,116.69,1246.93
2025-10-01,google,organic,1,151,0,0,151,0,0,0,0,151
2025-10-01,chatgpt.com,,4,459.25,0,0,459.25,47.86,0,0,0,507.11
2025-10-01,shop_app,,1,173,0,0,173,0,0,0,0,173
2025-10-01,later-linkinbio,referral,2,0,0,0,0,0,0,0,0,0
2025-10-01,pinterest,social,2,470.75,-13.87,-474.5,-17.62,0,0,0,-11.62,-29.24
2025-10-01,adroll,adroll,2,344.25,-4.65,0,339.6,13.15,0,0,19.66,372.41
2025-10-01,Klaviyo,Newsletter,48,6564.58,-120.97,0,6443.61,378.73,11.71,0,291.22,7125.27
2025-11-01,shop_app,,0,0,0,0,0,0,0,0,0,0
2025-11-01,shopmy,,7,1327.75,0,0,1327.75,49.91,0,0,12.89,1390.55
2025-11-01,google,product_sync,21,2778.75,-138.1,0,2640.65,261.45,0,0,59.83,2961.93
2025-11-01,google,cpc,63,11015.51,-485.28,-241.2,10289.03,689.87,44.58,0,361.46,11384.94
2025-11-01,back-in-stock,email,15,2192.65,-56.55,0,2136.1,139.86,0,0,39.81,2315.77
2025-11-01,Klaviyo,campaign,0,0,0,0,0,0,0,0,0,0
2025-11-01,substack,email,2,222.55,-7.15,0,215.4,11.86,0,0,0,227.26
2025-11-01,adroll,adroll,0,0,0,-111,-111,0,0,0,-5.88,-116.88
2025-11-01,Klaviyo,Newsletter,106,18599.8,-1033.96,-377,17188.84,845.67,0,0,503.86,18538.37
2025-11-01,Klaviyo,flow,10,977.7,-72.24,0,905.46,107.29,0,0,0,1012.75
2025-11-01,abandoned_cart,email,0,0,0,0,0,0,0,0,0,0
2025-11-01,chatgpt.com,,4,407,0,0,407,30.53,0,0,0,437.53
2025-11-01,google,organic,7,890.75,-79.4,-46.2,765.15,25.85,0,0,51.04,842.04
2025-11-01,,,571,93795.71,-6092.53,-2365.41,85337.77,5930.33,145.89,0,2531.46,93945.45
2025-11-01,pinterest,social,9,951.25,-42.6,0,908.65,162.23,0,0,28.61,1099.49
2025-12-01,shopmy,,1,39,0,0,39,14.25,0,0,0,53.25
2025-12-01,adroll,adroll,1,151.5,-1.7,0,149.8,0,0,0,0,149.8
2025-12-01,google,organic,4,1242.5,0,-30.4,1212.1,42.91,0,0,70.5,1325.51
2025-12-01,chatgpt.com,,5,603.25,-0.6,0,602.65,64.23,0,0,10.12,677
2025-12-01,Klaviyo,flow,9,968.8,-67.85,0,900.95,155.89,0,0,60.98,1117.82
2025-12-01,substack,email,0,0,0,-63.01,-63.01,0,0,0,0,-63.01
2025-12-01,pinterest,social,12,1302.26,0,-53.5,1248.76,177.58,0,0,26.73,1453.07
2025-12-01,Klaviyo,Newsletter,77,12398.86,-727.84,-1563.5,10107.52,612.45,0,0,208.98,10928.95
2025-12-01,back-in-stock,email,35,4701.3,-60.72,-64,4576.58,329.68,0,0,82.09,4988.35
2025-12-01,Klaviyo,campaign,0,0,0,0,0,0,0,0,0,0
2025-12-01,google,cpc,78,11367.46,-97.18,-443.59,10826.69,980.1,26.66,0,416.76,12250.21
2025-12-01,ig,paid,0,0,0,0,0,0,0,0,0,0
2025-12-01,,,869,112736.99,-3140.06,-5204.17,104392.76,11023.81,218.93,0,3411.14,119046.64
2025-12-01,smile_rewards,,0,0,0,0,0,0,0,0,0,0
2025-12-01,google,product_sync,33,4344.85,-53.9,0,4290.95,583.86,0,0,115.92,4990.73
2025-12-01,abandoned_cart,email,4,500.18,-8.83,0,491.35,131.86,6.28,0,83.48,712.97
2026-01-01,google,product_sync,17,2307,-10.2,0,2296.8,184.61,0,0,45.77,2527.18
2026-01-01,back-in-stock,email,25,2074.32,-8.32,-8,2058,359.33,0,0,63.3,2480.63
2026-01-01,google,cpc,49,6706.6,-41.8,-143.5,6521.3,457.6,0,0,197.87,7176.77
2026-01-01,later-linkinbio,referral,1,153.95,0,0,153.95,0,0,0,0,153.95
